corp_name,nm,birth_ym,ofcps,rgist_exctv_at,main_career,source_year,years_before_delisting,위험기업,위험종목코드
아이엠,김태동,1974년 05월,"대표
이사",사내이사,"한국외국어대학교 독어과 졸업
전) (주)로카스테크놀러지 이사
전) (주)포퓨처코포레이션 이사
전) (주)아이엠 부사장",2025,1,아이엠,101390
아이엠,송산,1982년 07월,이사,사내이사,"단국대학교 졸업
(주)셀렉원",2025,1,아이엠,101390
아이엠,이문규,1978년 03월,이사,사내이사,"명지대학교 졸업
(주)선진그룹
에빅오토모티브코리아 이사",2025,1,아이엠,101390
아이엠,강진,1971년 07월,이사,사내이사,"LG산전
Gwangsung Electronics(H.K)대표",2025,1,아이엠,101390
아이엠,김두수,1978년 12월,"사외
이사",사외이사,(주)명윤이엔지 대표,2025,1,아이엠,101390
아이엠,김성환,1996년 02월,"사외
이사",사외이사,"서울대학교 졸업
SK하이닉스
現사운드 백신(주)",2025,1,아이엠,101390
아이엠,장두식,1985년 09월,감사,감사,"연세대 법대졸
부산대 법학전문대학원 졸업
現 법무법인 정향 변호사",2025,1,아이엠,101390
아이엠,강태윤,1977년 05월,부사장,사내이사,"Qingdao University 중어중문과 졸업
전) (주)씨엔플러스 경영지원 팀장
전) (주)아이엠 대표이사",2024,2,아이엠,101390
아이엠,이현수,1964년 02월,이사,사외이사,"연세대 공학대학원 박사
전) 마이에셋자산운용 대표이사
전) 코레이트자산운용 대표이사
現 케이클리비스(주) 사장",2024,2,아이엠,101390
아이엠,김지중,1962년 04월,감사,감사,"연세대학교 공과대학원 공학경영전, 
전) 해보유통 대표
現 (주)제이제이무역 대표이사",2024,2,아이엠,101390
아이엠,김상하,1964년 06월,사외이사,사외이사,"□.서울대 법과대학 졸업
□.서제43회 사법시험 합격
□.서현 법무법인 씨티즌 대표변호사",2022,4,아이엠,101390
아이엠,배종민,1963년 11월,사장,미등기,"서강대학교 영어영문학과 학사
삼성전기 판매법인장
나무가 CMO
앤비스아나 부사장",2021,5,아이엠,101390
아이엠,이광석,1965년 11월,상무,미등기,"건국대학교 제어계측 졸업
대우 중앙연구소
삼성전기 개발기술
월드테크 연구소",2021,5,아이엠,101390
아이엠,이준성,1966년 07월,상무,미등기,"항공대학교 항공기계 졸업
삼성전자 개발기술
삼성전기 개발기술
㈜아이엠 연구소장",2021,5,아이엠,101390
아이엠,이준규,1965년 04월,이사,사내이사,"장안실업전문대학 세무회계과 졸업
전, ㈜대일피씨 관리총괄 상무이사
전, ㈜디에이치산업 대표이사
전, ㈜더베스트유엠 대표이사",2021,5,아이엠,101390
아이엠,김영식,1972년 08월,이사,사내이사,"수성고등학교 졸업
전, ㈜대신파이넨스 이사
현, ㈜샤인시스템 이사
전, ㈜아이엠 고문",2021,5,아이엠,101390
아이엠,오선종,1982년 09월,이사,사내이사,"청강문화산업대학교 컴퓨터네트워크과 중퇴
현, ㈜플레이엑스피 등기이사
현, ㈜이스포츠랩 대표이사",2021,5,아이엠,101390
아이엠,송정화,1970년 01월,이사,사내이사,"동아대학교 정치외교학과 졸업
전, ㈜에스마크 대표이사
전, ㈜아이엠 고문",2021,5,아이엠,101390
아이엠,이지원,1982년 09월,사외이사,사외이사,"서울대학교 외교학과 졸업
제5회 변호사 시험 합격
전, 법무법인 담박 변호사
현, 법무법인 명재 변호사",2021,5,아이엠,101390
아이엠,김유진,1978년 08월,사외이사,사외이사,"미국 Cornell University 석사
일본 도쿄대학교 공학박사
미국 Thornton Tomasetti 근무
바이오인프라 근무",2021,5,아이엠,101390
아이엠,박세철,1973년 05월,대표이사,등기임원,"□ 와세다대학교 법학 석사
□ 학교법인 장훈학원 이사장
□ ㈜우리로 대표이사□ 다믈멀티미디어㈜ 대표이사",2020,6,아이엠,101390
아이엠,조창배,1973년 05월,부사장,등기임원,"□ 서울과학기술대학교
안전공학 학사□ 학교법인 장훈학원 이사
□ ㈜우리로 부사장",2020,6,아이엠,101390
아이엠,조성근,1963년 02월,상무,등기임원,"□ 성균관대학교 전자공학 학사
□ 다믈멀티미디어㈜ 상무이사",2020,6,아이엠,101390
아이엠,김경수,1956년 05월,사외이사,등기임원,"□ 한양대학교 기계공학 학사□ ㈜만도헬라 대표이사□ ㈜만도 사장□ 한라그룹 미래전략실장
□ ㈜메카비젼 대표이사",2020,6,아이엠,101390
아이엠,유성완,1973년 06월,감사,등기임원,"□ 서울대 국제경제학 학사□ 듀크대 정책학 석사□ 정보통신부 정보화기획실 사무관□ 삼성전자 와이브로 해외마케팅 부장□ 미래부 융합신산업과장
□ ㈜모바일에코 부사장",2020,6,아이엠,101390
