회사명,종목코드,폐지일자,폐지사유,label
파이오니어,035030,2002-05-18,증권투자회사법 64조에 의한 해산사유 발생,1
마이다스차익거래혼합,053530,2002-04-23,증권투자회사법 64조에 의한 해산사유 발생,1
세이에이스혼합형펀드,052520,2002-04-23,증권투자회사법 64조에 의한 해산사유 발생,1
삼한콘트롤스,033070,2002-04-18,최종부도 또는 당좌거래정지(1년),1
유리세이프전환혼합형,052530,2002-03-28,증권투자회사법 64조에 의한 해산사유 발생,1
다임알짜2호-MF,051960,2002-01-23,증권투자회사법 64조에 의한 해산사유 발생,1
세이플러스혼합형펀드,051070,2001-11-19,증권투자회사법 64조에 의한 해산사유 발생,1
다임알짜1호-MF,050350,2001-10-30,증권투자회사법 64조에 의한 해산사유 발생,1
크린4호,049850,2001-10-16,증권투자회사법 64조에 의한 해산사유 발생,1
세이플러스,049990,2001-09-11,증권투자회사법 64조에 의한 해산사유 발생,1
하나에프앤아이,025080,2001-08-24,자본전액잠식(2년),1
마이다스차익,048660,2001-08-14,증권투자회사법 64조에 의한 해산사유 발생,1
에스이아이채,035930,2001-08-07,증권투자회사법 64조에 의한 해산사유 발생,1
미래주식1,047890,2001-07-10,증권투자회사법 64조에 의한 해산사유 발생,1
미래한아름2,046820,2001-07-03,증권투자회사법 64조에 의한 해산사유 발생,1
KTB더블채권1-MF,045800,2001-06-19,증권투자회사법 64조에 의한 해산사유 발생,1
플래티넘성2-MF,044740,2001-06-19,증권투자회사법 64조에 의한 해산사유 발생,1
세이채권혼합,045790,2001-06-19,증권투자회사법 64조에 의한 해산사유 발생,1
유리뉴앙상블,046520,2001-06-19,증권투자회사법 64조에 의한 해산사유 발생,1
실크성장삼호,045860,2001-06-12,증권투자회사법 64조에 의한 해산사유 발생,1
미래한아름1-MF,044890,2001-06-05,증권투자회사법 64조에 의한 해산사유 발생,1
그린에셋일호,045080,2001-05-29,증권투자회사법 64조에 의한 해산사유 발생,1
풍연,017090,2001-05-25,자본전액잠식(2년),1
보성인터,033300,2001-05-25,자본전액잠식(2년),1
다임채권형일,044750,2001-05-08,증권투자회사법 64조에 의한 해산사유 발생,1
KTB전환32,044400,2001-05-08,증권투자회사법 64조에 의한 해산사유 발생,1
세이우량채권,044240,2001-05-08,증권투자회사법 64조에 의한 해산사유 발생,1
미래알바1,044410,2001-05-02,증권투자회사법 64조에 의한 해산사유 발생,1
리젠트코스,043350,2001-04-24,증권투자회사법 64조에 의한 해산사유 발생,1
플래티넘성1,043380,2001-04-24,증권투자회사법 64조에 의한 해산사유 발생,1
실크성장2호,043400,2001-04-24,증권투자회사법 64조에 의한 해산사유 발생,1
KTB코스닥1,042310,2001-04-03,증권투자회사법 64조에 의한 해산사유 발생,1
마이다스30,043040,2001-04-03,증권투자회사법 64조에 의한 해산사유 발생,1
KTB드림1,042300,2001-04-03,증권투자회사법 64조에 의한 해산사유 발생,1
바이킹성장일,043700,2001-04-03,증권투자회사법 64조에 의한 해산사유 발생,1
옵티멈성장1,045090,2001-04-03,증권투자회사법 64조에 의한 해산사유 발생,1
실크성장1호,042460,2001-04-03,증권투자회사법 64조에 의한 해산사유 발생,1
마이다스코코,040860,2001-03-13,증권투자회사법 64조에 의한 해산사유 발생,1
미래하이4,040950,2001-03-13,증권투자회사법 64조에 의한 해산사유 발생,1
미래아이티3,040940,2001-03-13,증권투자회사법 64조에 의한 해산사유 발생,1
미래아이티2,040260,2001-02-27,증권투자회사법 64조에 의한 해산사유 발생,1
미래하이3,040270,2001-02-27,증권투자회사법 64조에 의한 해산사유 발생,1
한가족주식,040380,2001-02-27,증권투자회사법 64조에 의한 해산사유 발생,1
미래하이2호,039210,2001-02-20,증권투자회사법 64조에 의한 해산사유 발생,1
미래아이티1,039220,2001-02-20,증권투자회사법 64조에 의한 해산사유 발생,1
옵티멈전환2,039380,2001-02-06,증권투자회사법 64조에 의한 해산사유 발생,1
CJ프론티어,039720,2001-02-06,증권투자회사법 64조에 의한 해산사유 발생,1
플래티넘이천,039520,2001-02-06,증권투자회사법 64조에 의한 해산사유 발생,1
마이다스테3,040520,2001-02-06,증권투자회사법 64조에 의한 해산사유 발생,1
박현주7성장,038940,2001-02-06,증권투자회사법 64조에 의한 해산사유 발생,1
KTB전환형41,038760,2001-02-06,증권투자회사법 64조에 의한 해산사유 발생,1
미래하이1호,038580,2001-02-06,증권투자회사법 64조에 의한 해산사유 발생,1
월드그랜드2,039160,2001-01-30,증권투자회사법 64조에 의한 해산사유 발생,1
마이다스하전,039920,2001-01-30,증권투자회사법 64조에 의한 해산사유 발생,1
유리앙상블,039280,2001-01-30,증권투자회사법 64조에 의한 해산사유 발생,1
동원장보고2,039180,2001-01-30,증권투자회사법 64조에 의한 해산사유 발생,1
징기스칸1호,039170,2001-01-26,증권투자회사법 64조에 의한 해산사유 발생,1
리젠트빅히트,039270,2001-01-16,증권투자회사법 64조에 의한 해산사유 발생,1
박현주6호,038480,2001-01-16,증권투자회사법 64조에 의한 해산사유 발생,1
글로벌하이1,038770,2001-01-09,증권투자회사법 64조에 의한 해산사유 발생,1
KTB자산배분2,038380,2001-01-09,증권투자회사법 64조에 의한 해산사유 발생,1
마이다스테2,039050,2001-01-09,증권투자회사법 64조에 의한 해산사유 발생,1
박현주3성장,037770,2000-12-19,증권투자회사법 64조에 의한 해산사유 발생,1
박현주4성장,037780,2000-12-19,증권투자회사법 64조에 의한 해산사유 발생,1
박현주5호,038030,2000-12-19,증권투자회사법 64조에 의한 해산사유 발생,1
KTB전환형1,037360,2000-11-28,증권투자회사법 64조에 의한 해산사유 발생,1
마이다스전이,038310,2000-11-28,증권투자회사법 64조에 의한 해산사유 발생,1
월드그랜드1,038020,2000-11-28,증권투자회사법 64조에 의한 해산사유 발생,1
박현주자산1,037490,2000-11-28,증권투자회사법 64조에 의한 해산사유 발생,1
알바트로스 4,037180,2000-11-07,증권투자회사법 64조에 의한 해산사유 발생,1
리젠트프로1,037430,2000-11-07,증권투자회사법 64조에 의한 해산사유 발생,1
이글5호,037190,2000-11-07,증권투자회사법 64조에 의한 해산사유 발생,1
엘리트1호,037670,2000-11-07,증권투자회사법 64조에 의한 해산사유 발생,1
실크자산3,037040,2000-10-24,증권투자회사법 64조에 의한 해산사유 발생,1
알바트로스3,036780,2000-10-17,증권투자회사법 64조에 의한 해산사유 발생,1
유리피아이일,036960,2000-10-04,증권투자회사법 64조에 의한 해산사유 발생,1
유리배분일,037530,2000-10-04,증권투자회사법 64조에 의한 해산사유 발생,1
유리중립일,036950,2000-10-04,증권투자회사법 64조에 의한 해산사유 발생,1
유리아이피일,037520,2000-10-04,증권투자회사법 64조에 의한 해산사유 발생,1
리젠트성장1,036970,2000-09-26,증권투자회사법 64조에 의한 해산사유 발생,1
실크자산2,036650,2000-09-26,증권투자회사법 64조에 의한 해산사유 발생,1
호크아이즈증권투자회,034760,2000-09-19,증권투자회사법 64조에 의한 해산사유 발생,1
미래에셋실크로드자산,036300,2000-09-19,증권투자회사법 64조에 의한 해산사유 발생,1
미래에셋크린채권형이,036310,2000-09-05,증권투자회사법 64조에 의한 해산사유 발생,1
교보그로쓰,035970,2000-09-05,증권투자회사법 64조에 의한 해산사유 발생,1
교보성공파트너크린앤,035980,2000-09-05,증권투자회사법 64조에 의한 해산사유 발생,1
마이다스하이테크성장,036400,2000-09-05,증권투자회사법 64조에 의한 해산사유 발생,1
마이다스전환형일호펀,036040,2000-08-22,증권투자회사법 64조에 의한 해산사유 발생,1
박현주드림팔호자산배,035860,2000-08-22,증권투자회사법 64조에 의한 해산사유 발생,1
미래에셋크린채권형일,035820,2000-08-22,증권투자회사법 64조에 의한 해산사유 발생,1
다임마이스터보험형일,036440,2000-08-22,증권투자회사법 64조에 의한 해산사유 발생,1
리젠트뮤추얼원자산배,036330,2000-08-22,증권투자회사법 64조에 의한 해산사유 발생,1
에스이아이주,035940,2000-08-22,증권투자회사법 64조에 의한 해산사유 발생,1
다임마이스터전환형일,036430,2000-08-22,증권투자회사법 64조에 의한 해산사유 발생,1
박현주드림칠호자산배,035790,2000-08-08,증권투자회사법 64조에 의한 해산사유 발생,1
박현주드림육호자산배,035700,2000-08-01,증권투자회사법 64조에 의한 해산사유 발생,1
삼성프라임성장형뮤추,035530,2000-07-19,증권투자회사법 64조에 의한 해산사유 발생,1
삼성그랑프리전환형뮤,035520,2000-07-19,증권투자회사법 64조에 의한 해산사유 발생,1
플러스3호,035410,2000-07-19,증권투자회사법 64조에 의한 해산사유 발생,1
인베스티움사파이어성,034340,2000-07-19,증권투자회사법 64조에 의한 해산사유 발생,1
인베스티움사파이어전,034330,2000-07-19,증권투자회사법 64조에 의한 해산사유 발생,1
마이다스자산배분형일,035880,2000-07-19,증권투자회사법 64조에 의한 해산사유 발생,1
챌린지성장2,035680,2000-07-19,증권투자회사법 64조에 의한 해산사유 발생,1
챌린지전환1,035670,2000-07-19,증권투자회사법 64조에 의한 해산사유 발생,1
미래에셋박현주드림오,035540,2000-07-19,증권투자회사법 64조에 의한 해산사유 발생,1
미래에셋드림사호펀드,035470,2000-07-04,증권투자회사법 64조에 의한 해산사유 발생,1
미래에셋실크로드이호,035310,2000-06-29,증권투자회사법 64조에 의한 해산사유 발생,1
미래에셋알바트로스이,035320,2000-06-15,증권투자회사법 64조에 의한 해산사유 발생,1
미래에셋드림삼호펀드,035330,2000-06-15,증권투자회사법 64조에 의한 해산사유 발생,1
미래에셋실크로드펀드,035300,2000-06-15,증권투자회사법 64조에 의한 해산사유 발생,1
동신특강,024920,2000-06-07,"자본전액잠식(2년) , 기타 등록취소",1
엘티삼보,011870,2000-06-07,"보고서미제출 , 기타 등록취소",1
삼경정밀,013320,2000-06-07,자본전액잠식(2년),1
동양기공,018720,2000-06-07,"자본전액잠식(2년) , 기타 등록취소",1
금강정공,022770,2000-06-07,"자본전액잠식(2년) , 기타 등록취소",1
대륭산업,027610,2000-06-07,"최종부도 또는 당좌거래정지(1년) , 주식분산기준미달 , 기타 등록취소",1
정일이엔씨,010810,2000-06-07,"최종부도 또는 당좌거래정지(1년) , 자본전액잠식(2년)",1
삼산,012010,2000-06-07,"최종부도 또는 당좌거래정지(1년) , 보고서미제출 , 기타 등록취소 , 주식분산기준미달",1
에스씨옵티콤,014090,2000-06-07,자본전액잠식(2년),1
두원중공업,013900,2000-06-07,자본전액잠식(2년),1
교하산업,013850,2000-06-07,"최종부도 또는 당좌거래정지(1년) , 기타 등록취소 , 자본전액잠식(2년)",1
아진산업,013310,2000-06-07,"최종부도 또는 당좌거래정지(1년) , 자본전액잠식(2년) , 기타 등록취소 , 주식분산기준미달",1
주화산업,017740,2000-06-07,"최종부도 또는 당좌거래정지(1년) , 자본전액잠식(2년) , 기타 등록취소",1
라인건설,017620,2000-06-07,"최종부도 또는 당좌거래정지(1년) , 기타 등록취소",1
동호전기,022510,2000-06-07,"자본전액잠식(2년) , 기타 등록취소",1
삼주건설,025150,2000-06-07,"주식분산기준미달 , 자본전액잠식(2년)",1
플러스2호,035160,2000-05-25,증권투자회사법 64조에 의한 해산사유 발생,1
미래에셋드림이호펀드,034960,2000-04-19,증권투자회사법 64조에 의한 해산사유 발생,1
미래에셋이글사호펀드,034570,2000-04-19,증권투자회사법 64조에 의한 해산사유 발생,1
하이프로증권투자회사,034920,2000-03-30,증권투자회사법 64조에 의한 해산사유 발생,1
미래에셋드림펀드,034820,2000-03-30,증권투자회사법 64조에 의한 해산사유 발생,1
교보성공파트너일호펀,034650,2000-02-24,증권투자회사법 64조에 의한 해산사유 발생,1
한빛세이프티일호증권,034430,2000-01-27,증권투자회사법 64조에 의한 해산사유 발생,1
동원뮤추얼장보고1호,034470,2000-01-27,증권투자회사법 64조에 의한 해산사유 발생,1
한빛세이프티이호증권,034440,2000-01-27,증권투자회사법 64조에 의한 해산사유 발생,1
트윈스챌린지펀드,034350,2000-01-27,증권투자회사법 64조에 의한 해산사유 발생,1
미래에셋이글삼호펀드,034560,2000-01-27,증권투자회사법 64조에 의한 해산사유 발생,1
미래에셋이글이호펀드,034460,2000-01-27,증권투자회사법 64조에 의한 해산사유 발생,1
미래에셋이글일호펀드,034450,2000-01-27,증권투자회사법 64조에 의한 해산사유 발생,1
삼성프라임증권투자회,034270,2000-01-11,증권투자회사법 64조에 의한 해산사유 발생,1
삼성라이프에머랄드일,034320,2000-01-11,증권투자회사법 64조에 의한 해산사유 발생,1
박현주 5호,034290,2000-01-11,증권투자회사법 64조에 의한 해산사유 발생,1
삼성다이나믹증권투자,034260,2000-01-11,증권투자회사법 64조에 의한 해산사유 발생,1
미래에셋박현주사호펀,034280,2000-01-11,증권투자회사법 64조에 의한 해산사유 발생,1
박현주1호,034160,1999-12-22,증권투자회사법 제64조의 규정에 의한 해산사유의 발생,1
박현주2호,034170,1999-12-22,증권투자회사법 제64조의 규정에 의한 해산사유의 발생,1
한국종합철관,014340,1999-06-24,최종부도 또는 당좌거래정지(1년),1
