회사명,종목코드,폐지일자,폐지사유,label
JS,037110,2010-05-01,감사의견거절(감사범위제한),1
에버리소스,020070,2010-05-01,감사범위제한 및 계속기업존속능력에 대한 불확실성으로 인한 감사의견거절,1
CL,035710,2010-05-01,감사범위제한으로 인한 감사의견거절,1
포네이처,045290,2010-04-23,사업보고서 법정제출기한 익일부터 10일이내 미제출,1
폴켐,033190,2010-04-23,사업보고서 법정제출기한 익일부터 10일이내 미제출,1
테이크시스템,076090,2010-04-23,감사의견거절(감사범위제한),1
에스피코프,048130,2010-04-20,최종부도 발생,1
에이스일렉,038690,2010-04-17,감사의견거절(감사범위제한),1
쌈지,033260,2010-04-17,최종부도 발생,1
제넥셀,034660,2010-04-15,감사범위제한으로 인한 감사의견 거절,1
쓰리디월드,065340,2010-04-15,감사의견거절(감사범위제한),1
대주코레스,008340,2010-04-13,자본전액잠식,1
일공공일안경,032030,2010-04-13,자본전액잠식,1
유퍼트,060670,2010-04-13,자본전액잠식,1
중앙바이오텍,015170,2010-04-13,자본전액잠식,1
사이노젠,064060,2010-04-13,자본전액잠식,1
유티엑스,045880,2010-04-10,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지가 필요하다고 인정,1
스타맥스,017050,2010-04-05,"기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지가 필요하다고 인정",1
GK파워,054020,2010-04-03,최종부도,1
아이알디,084810,2010-04-01,당해 코스닥시장상장법인의 계속성 및 경영의 투명성 등을 종합적으로 고려한 결과 상장폐지기준에 해당한다고 결정,1
제너비오믹스,017010,2010-03-26,- 주된 영업이 정지되어 코스닥시장상장규정 제38조제2항제1호(삭제 ‘09.12.2)의 상장폐지기준 해당 / 기업의 계속성 및 경영의 투명성 등을 종합적으로 고려한 결과 코스닥시장상장규정 제38조제2항제5호라목(신설 ‘09.12.2)의 상장폐지기준 해당,1
비전하이테크,015050,2010-03-09,"기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지가 필요하다고 인정",1
코어비트,056850,2010-03-09,"기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지가 필요하다고 인정",1
코디콤,041800,2010-03-09,"기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지가 필요하다고 인정",1
동산진흥,031960,2010-02-20,"기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정",1
티이씨,067950,2010-02-20,당해 코스닥시장상장법인의 계속성 및 경영의 투명성 등을 종합적으로 고려한 결과 상장폐지기준에 해당한다고 결정,1
이롬텍,045400,2010-02-11,"정기보고서 미제출로 관리종목 지정후 법정제출기한내 사업보고서 미제출, 2회 연속 정기주주총회 미개최 또는 재무제표 미승인, 자본전액잠식",1
글로포스트,037830,2010-02-09,"기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지가 필요하다고 인정",1
디보스,080140,2010-02-02,자본잠식률 50%이상사유로 관리종목지정후 반기 감사의견 부적정,1
비엔디,047940,2010-01-29,당해 코스닥시장상장법인의 계속성 및 경영의 투명성 등을 종합적으로 고려한 결과 상장폐지기준에 해당한다고 결정,1
굿라이프10-MF,037510,2010-01-26,자본시장과금융투자업에관한법률 제202조제1항에 의한 해산사유에 해당하는 경우,1
케너텍,062730,2009-12-23,회생절차폐지결정사유 및 당해 코스닥시장상장법인의 계속기업 가능성 유무를 고려한 결과 상장폐지기준에 해당한다고 결정,1
모빌탑,085680,2009-11-25,"기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지가 필요하다고 인정",1
